,tweet,is_quoted,tweet_quoted,name_of_who_I_answered,id user_str,lang_user,creation_date_of_tweet,result_type,number_of_retweet,retweeted,source,user_name,user_screen_name,location,user_description,number_of_follower,number_of_friend,is_verified,creation_date_of_account,like
176,"Arrivano i vaccini Moderna, finalmente  #ufsp  #svizzera  #vaccini  #moderna  #ritardo https://t.co/Uvf4oL6tEH",False,None,,1385221075722768384,it,2021-04-22T13:16:55,recent,0,False,Ticinonline,Ticinonline,Ticinonline,Ticino - Switzerland,Segui tutte le ultime notizie di Ticinonline direttamente da Twitter!,14017,1331,True,2010-04-30T07:48:03,0
177,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385218831271010304,it,2021-04-22T13:08:00,recent,35,False,Twitter for iPhone,Capitan Harlok,CapitanHarlok6,Italia,A volte bisogna affidarsi a qualcosa anche se si sa che è una semplice illusione.,522,4996,False,2020-01-10T23:37:56,0
178,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385218677176422403,it,2021-04-22T13:07:23,recent,35,False,Twitter for Android,Francesco Ghiacci,FGhiacci,,"Ingegneria Gestionale @Polimi
Erasmus student at @novasbe
Back to @Polimi",202,411,False,2012-06-05T15:13:06,0
179,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385216777190264832,it,2021-04-22T12:59:50,recent,35,False,Twitter for iPhone,Doremifasol,maurtai,,"“Ma prima di vivere con gli altri, bisogna ch'io viva con me stesso: la coscienza è l'unica cosa che non debba conformarsi al volere della maggioranza…”",217,381,False,2012-03-03T16:03:55,0
180,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385215833140613120,it,2021-04-22T12:56:05,recent,35,False,Twitter for iPad,Zenia Confusa,ZeniaConfusa,Catania,Logorroica oltre l'umana capacità di sopportazione; resisterò su Twitter con soli 140 caratteri? Aggiornamento: ho resistito e Twitter è passato a 280 😬,2828,2089,False,2017-02-19T18:28:19,0
181,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385215433805082629,it,2021-04-22T12:54:30,recent,35,False,Twitter for iPhone,pavisa,pavisa1401,Italia,,120,417,False,2011-04-21T19:14:05,0
182,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385212186751082496,it,2021-04-22T12:41:35,recent,35,False,Twitter Web App,Max Carbonaro,MaxCarbonaro,Milano,,102,750,False,2011-01-31T18:00:42,0
183,"🇮🇱
Dopo i nuovi contratti con #PfizerBiontech e #Moderna Israele non vuole più il vaccino #AstraZeneca e sta valutando con la società se una grande spedizione già programmata possa essere inviata altrove, ha detto oggi il coordinatore della pandemia israeliana Prof. Nachman Ash.",False,Retweeted a retweet,,1385211198149439492,it,2021-04-22T12:37:40,recent,3,False,Twitter for Android,La Sfigatta💫,IlParadiso0,Dietro ,"Sono  la Sfigatta💫
Con la Sfigatta serve il dialogo.
#antispecista",368,366,False,2019-02-01T17:11:27,0
184,"@ImolaOggi @a_meluzzi ET VIDI ALIAM BESTIAM ASCENDENTEM DE TERRA #Vaticano: Alla conferenza sulla “salute” #Fauci, #ChelseaClinton, i capi di #Pfizer e #Moderna, gli oligarchi #BigTech https://t.co/E3b0ip6puL",False,Retweeted a retweet,,1385210165524320256,it,2021-04-22T12:33:34,recent,1,False,Twitter Web App,isabella fiorucci,_fiorucci,montecarlo pricipato di monaco,"vivere ogni istante intensamente,sono nata piangendo mentre tutti ridevano..moriro' ridendo mentre tutti piangono!!!!!!!!!!!!",1536,1942,False,2011-09-02T15:47:15,0
185,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385207216551178241,it,2021-04-22T12:21:50,recent,35,False,Twitter for Android,Roberto,robertoortis37,,,3,41,False,2020-04-03T23:11:41,0
186,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385207078239809541,it,2021-04-22T12:21:18,recent,35,False,Twitter for iPhone,urania,Urania_Pleiadi,"Bologna, Emilia Romagna","Medical Affairs - Science 🧬 Twitter da pochissimo per lavoro e x passione 💉 💊 Frase x la vita: Profondo come il mare, leggero come la sua schiuma...",45,120,False,2020-12-30T14:37:08,0
187,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385204653793628168,it,2021-04-22T12:11:39,recent,35,False,Twitter Web App,Lo starec,lostarec,Italia,&quot;A volte la storia ha bisogno di una spinta&quot;,411,213,False,2017-02-26T16:58:57,0
188,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385204387157577731,it,2021-04-22T12:10:36,recent,35,False,Twitter for Android,Bruno,Bruno_G79,,,246,418,False,2010-02-15T11:05:51,0
189,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385203880741453837,it,2021-04-22T12:08:35,recent,35,False,TweetDeck,Fondazione GIMBE,GIMBE,"Italy, Bologna","Ente indipendente di ricerca e formazione che difende un servizio sanitario pubblico, equo e universalistico.
#SalviamoSSN #iostoconGIMBE",22589,543,False,2009-12-23T11:12:46,0
190,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385203583151390721,it,2021-04-22T12:07:24,recent,35,False,Twitter for Android,graziella cesari,graziellacesari,,,160,63,False,2015-09-04T16:11:18,0
191,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385203221661110274,it,2021-04-22T12:05:58,recent,35,False,Twitter Web App,Mitì Vigliero,Miti_Vigliero,,"Una Placida ""Scrittora"" che ama la Storia, le Storie Piccole, la Cucina, Genova, la Granda, le Usanze e le Memorie https://t.co/kGsdxL2MqH",21585,9793,False,2010-02-26T09:56:52,0
192,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385202912083812355,it,2021-04-22T12:04:44,recent,35,False,Twitter for iPhone,Alessandra Brux,AlessandraB18,Roma,"In smart working da anni, figli, cani, hobbies, la squadra del cuore - #amala - in una città invivibile in cui sono nata e di cui non potrei fare a meno.",2411,2263,False,2011-05-03T14:47:48,0
193,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385202540837539844,it,2021-04-22T12:03:16,recent,35,False,Twitter for Android,Carmela,Carmela_oltre,Italia,La fede è certezza.....,3176,2726,False,2017-07-09T12:17:38,0
194,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385202209135210505,it,2021-04-22T12:01:57,recent,35,False,Twitter for iPhone,Alessandro Bruno,br1alessandro,,Sono qui perché nell'universo parallelo non mi volevano.,206,1132,False,2011-06-30T19:00:44,0
195,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385202087559061518,it,2021-04-22T12:01:28,recent,35,False,Twitter for Android,Max Sironi,MaxiSironi,,,43,100,False,2013-02-09T21:03:43,0
196,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385202004914589697,it,2021-04-22T12:01:08,recent,35,False,Twitter for Android,Mariano De Persio,MarianoDePersio,"Terni, Umbria",Infermiere Scienziato delle Religioni Filosofo Teologo Bioeticista Socioantropologo,1790,3131,False,2014-03-25T08:48:00,0
197,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385201994101571584,it,2021-04-22T12:01:05,recent,35,False,Twitter Web App,𝓜𝓪𝓾𝓻𝓲𝔃𝓲𝓸 𝓜𝓪𝓷𝓬𝓲𝓷𝓲 ✊✊✊,Maurizio62,,"Odio gli indifferenti. L’indifferenza è il peso morto della https://t.co/chE9h2QTu3, sono partigiano. Perciò odio chi non parteggia, odio gli indifferenti.",1128,856,False,2009-02-26T12:50:40,0
198,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,Retweeted a retweet,,1385201976183508998,it,2021-04-22T12:01:01,recent,35,False,Twitter Web App,clo,pin_klo,roma // siciliasardegnainside,,1806,1438,False,2011-02-23T13:47:37,0
199,"#vaccini: i numeri del 1° semestre 2021
Aggiornamento #GIMBE 21 aprile, ore 7.38

#PfizerBioNTech 
#Moderna 
#AstraZeneca 
#JohnsonAndJohnsonVaccine 
#Curevac https://t.co/0hO6CdyLcu",False,None,,1385201592274669577,it,2021-04-22T11:59:30,recent,35,False,Twitter Web App,Nino Cartabellotta,Cartabellotta,"Bologna, Emilia Romagna","Medico, presidente @GIMBE. Il mio faro sono #evidenze #scienza #dati. Allergico a opinioni e #fake. Padre di 3 figli, siculo, amo fornelli, piante, sole, mare",44951,1347,False,2010-12-29T19:44:42,116
200,"Italia punta su dosi #Pfizer, #Moderna e su quello in arrivo #Curevac
https://t.co/qzjqzlCfnS",False,None,,1385184863901339650,it,2021-04-22T10:53:01,recent,0,False,Twitter Web App,pasquale marro,PasqualeMarro,,"Docente di lingua e letteratura francese scuole superiori, giornalista pubblicista.",112,19,False,2012-03-07T16:25:36,0
201,"Il bugiardino lo volevo per la vita... non per il vaccino 

#Covid #AstraZeneca #moderna #Pfizer #coprifuoco #lockdown2021 #COVID19 #bugiardino",False,None,,1385181792093736962,it,2021-04-22T10:40:49,recent,0,False,Twitter for iPhone,ⒷⒺⓁⓋⒶ,2cognomi,,"è inutile vergognarsi di chi sei e da dove arrivi, il fatto è che tu sei tu e devi fartene una ragione e provare sempre a essere la tua versione migliore",1295,401,False,2012-05-19T12:06:52,2
202,"@ImolaOggi @a_meluzzi ET VIDI ALIAM BESTIAM ASCENDENTEM DE TERRA #Vaticano: Alla conferenza sulla “salute” #Fauci, #ChelseaClinton, i capi di #Pfizer e #Moderna, gli oligarchi #BigTech https://t.co/E3b0ip6puL",False,None,ImolaOggi,1385162745570541571,it,2021-04-22T09:25:08,recent,1,False,Twitter Web App,Armando Savini,armando_savini,"#Tuscany, Italy","#Author of economics, #exegesis and #Jewish #mysticism, formerly Lecturer of #Economics & #Business #Research #Methods",231,833,False,2014-10-29T11:33:29,0
203,"ET VIDI ALIAM BESTIAM ASCENDENTEM DE TERRA #Vaticano: Alla conferenza sulla “salute” #Fauci, #ChelseaClinton, i capi di #Pfizer e #Moderna, gli oligarchi #BigTech https://t.co/E3b0ip6puL https://t.co/NI7Ntsaklt",False,None,,1385162490120654853,it,2021-04-22T09:24:07,recent,0,False,Twitter Web App,Armando Savini,armando_savini,"#Tuscany, Italy","#Author of economics, #exegesis and #Jewish #mysticism, formerly Lecturer of #Economics & #Business #Research #Methods",231,833,False,2014-10-29T11:33:29,0
204,Dopo mesi di attesa finalmente anche mia mamma ha ricevuto la sua prima dose di vaccino. #Moderna,False,None,,1385160094200090624,it,2021-04-22T09:14:36,recent,0,False,Twitter Web App,bia bon,biabon,,"Personaggio privato!
Collezionista di scarpe.",634,501,False,2009-08-25T14:01:52,2
205,"In #USA, #FDA blocca #JohnsonandJohnson per approfondimento casistica delle trombosi. In Europa, #EMA disco verde per il siero americano. In Usa #Vaxzevria (#AstraZeneca) mai autorizzato.
Gli americani utilizzano esclusivamente #mRNA #Moderna e #Pfizer.
Al fine, europei cavie.",False,None,,1385156761263484928,it,2021-04-22T09:01:21,recent,0,False,Twitter Web App,Mimmo Chianura,MChianura,"Francavilla Fontana, Puglia",Agente plurimandatario di assicurazioni dal 1991. Anche blogger col personale https://t.co/eNtgxqC05W,602,492,False,2011-12-11T16:40:21,0
206,"Vaccino #Covid19 a mRNA (#Pfizer/ #Moderna)
#Gismondo“in questi vaccini genici gli eventuali effetti collaterali sono da vedere su LUNGO TERMINE. Sono delle potenziali MUTAZIONI GENICHE con inglobamento dell’RNA che sappiamo può RETROTRASCRIVERE e diventare DNA”
#QuartaRepubblica https://t.co/uKvOOcOiaA",False,Retweeted a retweet,,1385140172178829312,it,2021-04-22T07:55:26,recent,377,False,Twitter for iPhone,Francesca,Frances43412391,,"Se vuoi qualcosa che non hai mai avuto, devi essere pronto a fare qualcosa che non hai mai fatto",1,23,False,2021-03-31T21:04:40,0
207,"#Newsicilia AGGIORNAMENTO - Sarà possibile vaccinarsi anche senza prenotazione per gli over 80 e gli over 60 appartenenti alla categoria ""fragili"" con #Pfizer e #Moderna
https://t.co/MurQRXMyfY",False,None,,1385124802680197120,it,2021-04-22T06:54:21,recent,0,False,NewSicilia AuitoPublish,NewSicilia,NewSicilia,"Catania, via Centuripe 1/C","🗞 L'informazione digitale siciliana. Notizie, approfondimenti e inchieste a portata di click.
📲 Scarica la nostra app per restare sempre aggiornato.",2724,836,False,2014-08-26T15:55:39,0
208,"Lampada da Tavolo Joyo
https://t.co/ARg6NdzQma
Design, estetica e #funzionalità confluiscono in un unico oggetto: #Joyo, una #lampada da #tavolo #moderna e innovativa…",False,None,,1385111248824684546,it,2021-04-22T06:00:30,recent,0,False,Design Miss,Design Miss,designmiss,#designmiss,"Design Miss è il blog del gruppo @mobiadv dedicato al mondo del #design . #Lifestyle , #architettura , #tecnologia , #eco , #arte , #interiordesign , #packaging",716,11,False,2015-01-27T18:49:52,0
209,"@EDeLeonibus ""re-infezioni dopo vaccino, possibili ma con esito positivo"" : vaccinate con successo con #pfizer e #Moderna, hanno contratto il #Covid (una variante), sviluppato i sintomi, ma questi si sono risolti positivamente in poco tempo. #vaccinazioni https://t.co/fQvbX715Ez",False,None,EDeLeonibus,1385106201151737857,it,2021-04-22T05:40:27,recent,0,False,Twitter for Android,Dr. Elvira De Leonibus,EDeLeonibus,Group Leader Neuropsychopharm ,Free and happy #behavioral neuroscientist #in love with @memory and @dopamine at @Tigem_Fondazione Telethon and at @CNR,227,601,False,2013-04-25T13:26:09,0
210,"La gggente vuole scegliere
#JohnsonandJohnson #Pfizer #AstraZeneca #Sputnik #moderna https://t.co/iE47eo8SDJ",False,Retweeted a retweet,,1385106153508642818,it,2021-04-22T05:40:15,recent,342,False,Twitter for Android,Ponzo78,ponzo78,genova/savona,Allevo farfalle per provocare uragani dall'altra parte del mondo. #Diversamenteinappetente,117,99,False,2012-01-07T10:49:55,0
211,"l’indignazione per come i #medici liberi professionisti siano stati trattati nella campagna di #vaccinazione. Ho accettato, per spirito civico #AstraZeneca, ma i sanitari dipendenti sono stati tutelati con i più efficaci vaccini #moderna o #pfizer @robersperanza",False,Retweeted a retweet,,1385003745042391047,it,2021-04-21T22:53:19,recent,1,False,Twitter for iPad,Nunzio M. Tagliavia,maxcuttysark,"Mars, PA","Medico pubblicista scientifico.Ogni scusa buona per essere curioso. Ciò che ha portanza ha importanza,vela o ala che sia.Irriducibile contro il pensiero unico.",134,238,False,2011-04-30T19:00:47,0
212,"l’indignazione per come i #medici liberi professionisti siano stati trattati nella campagna di #vaccinazione. Ho accettato, per spirito civico #AstraZeneca, ma i sanitari dipendenti sono stati tutelati con i più efficaci vaccini #moderna o #pfizer @robersperanza",False,None,,1385003250139770885,it,2021-04-21T22:51:21,recent,1,False,Twitter for iPad,Medico Odontoiatra DrTagliavia,dr_tagliavia,"Milano, Lombardia",“Sorridere non deve essere un lusso”. Instagram: dott_tagliavia_odontoiatra,207,170,False,2009-08-15T10:09:42,2
213,"https://t.co/Ei7QpSfG76

#Vaccini #Pfizer o #Moderna senza prenotazione: porte aperte per gli #over80 in 11 centri del Palermitano.

Quì il sito #asppalermo con #indicazioni, #strutture e gli #orari👇
https://t.co/hwGDvnJn86 n

Articolo #PalermoToday
 https://t.co/a6PtvqVpMR",False,None,,1384981797289791492,it,2021-04-21T21:26:06,recent,0,False,Twitter for Android,joska,joska1978,palermo,e salve a tutti!!!,233,2372,False,2016-02-21T10:53:11,0
214,"Oriettona Berti scoppia di salute le avranno pompato dentro tutti e tre i vaccini #Pfizer #Astrazeneca e #Moderna
#NameThatTune",False,None,,1384975012701081601,it,2021-04-21T20:59:09,recent,0,False,Twitter for Android,Barone Cavin 🍌🥒🍆,baronecavin,La citta' dell'ipocrisia,"E' tutto finto
#fatefintadinulla",553,1332,False,2011-02-21T11:49:24,0
215,"@ZamaraMatia 😂😂😂 #PfizerBioNTech,  #Moderna , #AstraZeneca...tra poco proverà il #JohnsonAndJohnsonVaccine ...uomo fortunato!😂😂😂",False,None,ZamaraMatia,1384974249983610890,it,2021-04-21T20:56:07,recent,0,False,Twitter for Android,Eclissi di luna (storta)🐸🐸🐸,Eclissi18,,"Nata Principessa, cresciuta Guerriera.
Un Angelo bianco con l'Anima nera🖤🌙

L' Inferno è vuoto e tutti i demoni sono qui.
William Shakespeare",1092,1116,False,2020-01-13T13:07:13,1
216,@LilianaArmato @andreapurgatori Condivido però visto che #Moderna ha già rinunciato al brevetto ma nessuno si è attivato per produrlo forse c’è un problema...,False,None,LilianaArmato,1384962624614449152,it,2021-04-21T20:09:55,recent,0,False,Twitter for iPhone,Erika #FBPE #FPHD 🇪🇺 🏳️‍🌈,EFBPE,"Catania, Sicilia","Il mondo è la mia casa: siciliana, italiana, europea, orgogliosa delle mie origini greche, romane, normanne, vichinghe ed arabe! #facciamorete #antifa",958,976,False,2018-04-18T08:29:24,3
217,@andreapurgatori Brevetti liberi? Ma se un solo manager di #Moderna vendendo una piccola parte di sue azioni si è portato a casa la spaventosa cifra di 900 milioni!! Ma avete capito che interessi ci sono in campo? #vaccino #VacciniCovid #Atlantide,False,None,andreapurgatori,1384955145956610055,it,2021-04-21T19:40:12,recent,0,False,Twitter for Android,Paolo Pellegrini,PaoloPe41607152,,,45,228,False,2018-01-03T15:32:48,0
218,"Ecco...facciamo anche 
l' Open settimana intera con
 #Pfizer e #Moderna e vacciniamo tutti, giorno e notte. 🤞 https://t.co/VJfhoiDK6O",True,"#Covid19: #vaccini, ritorna in #Sicilia l'Open weekend con un giorno in più - https://t.co/GKXDgzdGeo

#stopCovid #vaccino #Coronavirus #CoronavirusSicilia #CoronavirusItalia #Covid19Italia https://t.co/bIUq51nwQf",,1384948058056765440,it,2021-04-21T19:12:02,recent,1,False,Twitter for Android,ciccioetna,ciccioetna,Catania / Sicily /Italy/Europe,"Scatti di #Sicilia .....a tempu persu.

#voglioleinfrastrutture 
#Etnameraviglia #yummysicily #wsagata #loscattoritrovato  #plasticfree  #nonabbiatepaura ;)",660,108,False,2013-01-31T07:52:03,4
219,"Qualcuno ha letto i ""contratti segreti"" di #Pfizer e #Moderna?
Sconcertante.
""Le case farmaceutiche rispondono soltanto in caso di dolo o dimostrata violazione delle Good manifacturing practice. I brevetti restano in mano a privati, nonostante la manleva e finanziamenti pubblici"" https://t.co/khymZCCC07",True,Retweeted a retweet,,1384943181259739137,it,2021-04-21T18:52:40,recent,4,False,Twitter Web App,Lux,Lux97335459,,,77,197,False,2021-02-13T18:46:52,0
220,"Qualcuno ha letto i ""contratti segreti"" di #Pfizer e #Moderna?
Sconcertante.
""Le case farmaceutiche rispondono soltanto in caso di dolo o dimostrata violazione delle Good manifacturing practice. I brevetti restano in mano a privati, nonostante la manleva e finanziamenti pubblici"" https://t.co/khymZCCC07",True,Retweeted a retweet,,1384942526520463361,it,2021-04-21T18:50:03,recent,4,False,Twitter for Android,marino29b,marino29b,,5 ☆☆☆☆☆ come scelta di vita,2941,1759,False,2012-09-20T20:07:42,0
221,"Detenuti e #PoliziaPenitenziaria tutti vaccinati con #Moderna 😬

@flauraUSPP",False,Retweeted a retweet,,1384938654548832259,it,2021-04-21T18:34:40,recent,1,False,Twitter for Android,E il naufragar m'è dolce in questo mare....🖤,Cristian_FF_79,sopra il filo di una ragnatela,Ti ho amato prima di saperlo e forse è solo così che si ama. 🖤,599,353,False,2019-03-03T19:41:35,0
222,"Detenuti e #PoliziaPenitenziaria tutti vaccinati con #Moderna 😬

@flauraUSPP",False,None,,1384938521291595776,it,2021-04-21T18:34:09,recent,1,False,Twitter for Android,Incazzata🧱,IoSonoIncazzata,,"La libertà prima di tutto è un DOVERE poi un diritto 

#DittaturaSanitaria",435,310,False,2016-05-21T20:46:51,1
223,"Qualcuno ha letto i ""contratti segreti"" di #Pfizer e #Moderna?
Sconcertante.
""Le case farmaceutiche rispondono soltanto in caso di dolo o dimostrata violazione delle Good manifacturing practice. I brevetti restano in mano a privati, nonostante la manleva e finanziamenti pubblici"" https://t.co/khymZCCC07",True,Retweeted a retweet,,1384937931756949506,it,2021-04-21T18:31:48,recent,4,False,Twitter for Android,Claudio Cocchi,cocchi2a,,L'importante è che la morte ci trovi vivi. La vita è come la scala di un pollaio: corta e piena di merda.,3219,1205,False,2013-01-29T08:15:29,0
224,"Pfizer, Moderna, Astra Zeneca, Johnson&amp;Johnson, voi con quale vorreste essere vaccinati?
#AstraZeneca
#JohnsonandJohnson
#Moderna
#Pfizer
https://t.co/3RC6FCzXKV",False,None,,1384928873293533188,it,2021-04-21T17:55:48,recent,0,False,Twitter for Android,il comizio,ilcomizio,Italia,"L'account ufficiale del videoportale 
https://t.co/ZQ7R2Mv4Ci",307,192,False,2015-06-24T10:56:10,0
225,"#Pfizer e #Moderna presentano gli stessi problemi di 'nessun nesso' con quello Astrazeneca secondo Oxford University
L'analista Webber (spero sia mio lontano parente😊)
il governo inglese sta mettendo covid su quasi tutti i morti (inclusi quelli da 'vaccino')
@buffonateDstato https://t.co/JcYzcvMzVE",False,Retweeted a retweet,,1384927460693843972,it,2021-04-21T17:50:11,recent,5,False,Twitter for Android,patty,panibbi,Roma,,822,849,False,2015-05-13T13:20:00,0
226,"#Pfizer e #Moderna presentano gli stessi problemi di 'nessun nesso' con quello Astrazeneca secondo Oxford University
L'analista Webber (spero sia mio lontano parente😊)
il governo inglese sta mettendo covid su quasi tutti i morti (inclusi quelli da 'vaccino')
@buffonateDstato https://t.co/JcYzcvMzVE",False,Retweeted a retweet,,1384923487685447682,it,2021-04-21T17:34:24,recent,5,False,Twitter Web App,stefano frongia,ailuig500sb,,,464,508,False,2012-12-19T10:35:29,0
227,Fatto! 💉ecco il segno della mia prima dose di #vaccino #Moderna #RegioneMarche #covid_19 #science @ Campo Sportivo Federale FIGC  G. Paolinelli https://t.co/uapNlRTpG9,False,None,,1384923195506049024,it,2021-04-21T17:33:15,recent,0,False,Instagram,Armando Grati ॐ,armgra,,"Life is my passion, Music is my Life, Arts make me breath. Don't mention about social media and technologies.. ;-)",962,2374,False,2008-10-06T15:44:28,1
228,"#Pfizer e #Moderna presentano gli stessi problemi di 'nessun nesso' con quello Astrazeneca secondo Oxford University
L'analista Webber (spero sia mio lontano parente😊)
il governo inglese sta mettendo covid su quasi tutti i morti (inclusi quelli da 'vaccino')
@buffonateDstato https://t.co/JcYzcvMzVE",False,Retweeted a retweet,,1384923088605810697,it,2021-04-21T17:32:49,recent,5,False,Twitter for Android,Rosa 🇮🇹🇮🇹🖤💚🇨🇭🌹,SamaRosa70,"Pisa, Toscana","Politica,cinema,https://t.co/RgiKS9psOW COMUNISTI,NO 5STELLE, NO DM, NON GRADISCO MESSAGGI PRIVATI, SE SIETE STATALI NON SEGUITEMI,BLOCCO IMMEDIATO.",3312,2884,False,2018-03-03T13:25:29,0
229,"#Pfizer e #Moderna presentano gli stessi problemi di 'nessun nesso' con quello Astrazeneca secondo Oxford University
L'analista Webber (spero sia mio lontano parente😊)
il governo inglese sta mettendo covid su quasi tutti i morti (inclusi quelli da 'vaccino')
@buffonateDstato https://t.co/JcYzcvMzVE",False,Retweeted a retweet,,1384922639584710659,it,2021-04-21T17:31:02,recent,5,False,Twitter Web App,Walter gab @Walter_Trump_y1,YRetlaw,,"New Bio: da ""Vi combatterò fino a annientarvi, governo di criminali, corrotti, mafiosi...."" riferito al governo Conte2, a ""Draghi, fiducia, salvo intese""",541,724,False,2020-11-19T21:58:12,0
230,"#Pfizer e #Moderna presentano gli stessi problemi di 'nessun nesso' con quello Astrazeneca secondo Oxford University
L'analista Webber (spero sia mio lontano parente😊)
il governo inglese sta mettendo covid su quasi tutti i morti (inclusi quelli da 'vaccino')
@buffonateDstato https://t.co/JcYzcvMzVE",False,None,,1384921927094095876,it,2021-04-21T17:28:12,recent,5,False,Twitter Web App,Adry.W.2🌟⚔️,liliaragnar,,,3646,2421,False,2020-12-29T16:22:32,10
